id,category,question1,question2,question3,paraphrase1,paraphrase2,reviewerID,asin,start_index,end_index
3087LXLJ7QVKG4QT65OOE8QJRI00FI,Bike,Do you want a bike with fat tires perfect for conquering tough terrain?,Are you looking for a bike with fat tires that are perfect for conquering tough terrain on the trails?,Do you need a bike with fat tires for taking on tough terrain?,Do you need a bike with fat tires for taking on tough terrain?,Are you looking for a bike with fat tires for rough surfaces?,A2ALEKYBDPW2UB,B00J7J40TM,30,114
3087LXLJ7QVKG4QT65OOE8QJSQHF0V,Espresso machine,,,,,,AK4ORHJ8C21BB,B00H1OUSD2,1610,1720
308KJXFUKVLQ0M6CTRQ6KIHXSL0TA7,Snow shovel,Do you want a Snow shovel that is perfect for removing snow with greater ease?,Do you want a snow shovel that removes snow with greater ease?,Do you need a snow shovel that makes it easier to remove snow?,Would you be interested in a snow shovel for easy snow removal?,Do you desire a snow shovel that makes it easier to remove snow?,A261SPRKE36S8R,B00120R2XA,0,78
309D674SI30EXF9TDJVCQJ1ZMHMCB3,Grill,Are you looking for grill that is gets much hotter for searing a ribeye?,Would you need a grill that gets much hotter and can sear a ribeye?,Do you cook ribeyes?,Do you want a grill which produce extreme hot for searing a ribeye?,DO YOU WANT A GRILL WHICH IS GETTING MUCH HOTTER FOR SEARING A RIBEYE?,A2FKXF5PIY4XNT,B00ENJRK3E,543,589
30EV7DWJUZALU6T3DKWTCU7QAWBY6D,Walk-behind lawnmower,Have you come to the conclusion that this is a good dry grass mover but it lacks the blade speed to stand up to dry grass for cutting?,Are you looking for a mower for dry grass?,Are you looking for a good dry grass mower that has the blade speed to stand up damp grass for cutting?,Would you be interested in a grass mower with a high speed blade?,Do you want a good dry grass mower with blade speed to stand up damp grass for cutting?,A2IHC378FM0AUW,B002YK4UZU,861,1001
30EV7DWJUZALU6T3DKWTCU7QB4SY6B,Ski jacket,Are you looking for a ski jacket with not too deep and not too warm but still good enough pockets for holding a small wallet or phone?,Are you looking for a ski jacket with good pockets for holding a small wallet or phone?,Are you interested in a ski jacket with good pockets for holding a small wallet or phone?,Do you want a ski jacket with good pockets for holding a small wallet or phone?,Do you want a jacket with a phone or wallet pocket?,A1EIM42OVLLFYK,B00XTP585A,638,726
30EV7DWJUZALU6T3DKWTCU7QB4T6YK,Walk-behind lawnmower,Would you like a walk-behind lawnmower able to handle big yards?,Do you want a walk-behind lawnmower that can mow a big yard?,Are you looking for walk-behind lawnmower to mow a big yard?,Need a lawnmower that can mow a big yard?,How does a walk behind lawnmower to mow a big yard sound?,AEEI3GYQ5R0O5,B00Q2MGO32,80,139
30F94FBDOVZVJWB4Z5Q2FT13A3MBTL,Walk-behind lawnmower,,,,,,A2LEO5K8Z0IEOJ,B00HH4K6XS,0,87
30IRMPJWE3YJWK261TY0EHJB9CXRK7,Tent,Are you looking for a tent that can be set up instantly?,Are you looking for a pop up tent that is great for setting up instantly?,Are you looking for a pop up tent which can be set up instantly?,Would you be interested in a pop-up tent that is easy to setup instantly?,Might you be interested in pop up tent that sets itself up automatically?,A3U72ZISEIQQZS,B004R8U85I,60,133
30OITAWPCUIMQU5C1RVHA43PB9O9HZ,Blender,Are you interested in a blender that comes with a fabulous whisk attachment for whipping-up egg whites and whipped cream?,Are you looking for a blender with whisk attachment great for whipping egg white and cream?,Do you want a blender with whisk attachment that is fabulous for whipping up egg whites and whipped cream?,Would you like a blender that is great for whipping egg white and cream?,How about a blender with a whisk attachment that works well for whipping up egg white and cream?,AZOTVJHNSAQXG,B000GHF3V8,222,299
30P8I9JKPM0878YK3QZ4DPPWWKZ5VW,Blender,Do you want a blender that is perfect for making shakes?,Would you like a blender that is perfect for making shakes?,Would you like a blender which is perfect for making shakes?,Are you looking for a blender that is awesome for shakes?,Are you looking for a blender that is perfect for making shakes?,A1ZLJ2KILZY7SK,B003YLEXBO,225,270
30QQTY5GNOZNHXN3MT4WFN19AR1U78,Blender,"Are you looking for a blender that is simple to use, something for small shakes?",Are you looking for a blender that is simple to use?,Would you be interested in a blender which is so simple that making a second shake isn't a problem?,Are you seeking for an easy to use blender that can make little shakes?,"are you searching for a blender that is simple to use, something for small shakes?",A2GDZNEKQHA132,B00939FV8K,14,163
30UZJB2PPLROVZW1JGTYUUXD50635X,Bike,Do you need a bike for streets and light off road use?,Are you thinking that you would not choose to use this bike for riding anything but streets and light off roads that are made mostly smooth?,Would you like to have a street bike to ride the roads that are mostly smooth?,Would you like a light and fast bike that can ride both on the streets and on the road?,Are you looking for a bike for streets and light off road use?,AKXR0YY1I4PQ6,B001F5JGHW,2746,2845
30Z7M1Q8V2Z722EOQTFBTMLAE8G8AY,Snow shovel,Are you looking for a snow shovel that is great for clearing sidewalks and driveways?,Are you interested in snow shovel that will be great for clearing sidewalks and driveways?,,Are you seeking for a snow shovel that can clear sidewalks and driveways effectively?,Would you like a snow shovel that is great for clearing sidewalks and driveways?,A1H1S0NYSDTJZ3,B0011MRE5U,910,952
30Z7M1Q8V2Z722EOQTFBTMLAE8GA80,Vacuum,,,,,,A8TLOM61TAALR,B01DAI5CF6,33,98
30ZKOOGW30LPR2U3R86WECY202A1A7,Bird feeder,Are you looking for an easy to clean bird feeder?,Are you looking for a bird feeder that is easy to clean?,Are you looking for a bird feeder that is great for cleaning?,Did you need a bird feeder that is easy to clean?,Are you interested in an easily cleaned bird feeder?,A38LF3SDXXJYVJ,B00GSQBYNC,311,374
30ZKOOGW30LPR2U3R86WECY202AA1G,Espresso machine,,,,,,AABJ41QTGT1YJ,B00198DCE8,43,243
311HQEI8SWV43WHDSG34WFGOC9GZ72,Blender,Are you looking for a blender that is great for whipping cream?,Do you want a blender that is great for whipping cream?,Do you want the blender that is great for whipping cream?,Would you like a blender that can whip cream well?,Do you want this blender that is perfect for cream whipping?,A21HRWYXBDK3TO,B005PUB7FW,0,87
3126F2F5GCIVY7UHSFJ8BR6ROXEEPJ,Grill,Are you looking for Grill which is perfect for two people?,Would you be interested in a grill that is great for cooking for two people?,,Are you searching for the perfect grill for two peple?,Do you need a grill that is perfect for two people?,A3RC0PZT1EU0MC,B00022OK2A,0,32
31ANT7FQOCH3P730Y1I0YOYNPD5H5G,Vacuum,Are you looking for a perfect vacuum cleaner for cleaning hardwood floors?,Would you like a vacuum perfect for cleaning hardwood floors?,Are you looking for a vacuum cleaner that is perfect for cleaning hardwood floors?,Do you need a vacuum for hardwood flooring?,Looking for the perfect vacuum cleaner for hardwood floors?,AFYZAND1FGW2G,B002NVRPM0,52,103
31D0ZWOD1EEPKD9LVP2W07FSVA40A3,Vacuum,did you need a vacuum for cleaning a high-traffic area or under a bed?,Are you looking for a vaccum for cleaning a high traffic area or under bed?,Are you looking for a vacuum which is nice for cleaning a high-traffic area or under a bed or similar area?,DO you want a vaccum for cleaning a high traffic area or under bed?,Would you be interested in a vacuum for both under the bed and high traffic areas?,A24B990VP9QC6C,B00J08ITFG,835,911
31D0ZWOD1EEPKD9LVP2W07FSVA4A0D,Espresso machine,Are you interested in an espresso machine that is great for steaming milk?,Are you looking for a machine ideal for streaming milk?,Do you want an espresso machine making not great frothy milk in short time?,Would you love to own an espresso machine that makes steaming milk a breeze?,Want a perfect coffee machine that froths the milk a lot?,ACTJGJZHO575A,B000F49XXG,1231,1366
31GECDVAAN1JBMJX7111T3NXCU066K,Bike,Are you looking for mountain biking?,Are you looking for bike with disc brakes and shock which is designed specifically for mountain biking?,"Are these bikes fitted with disc brakes, shocks and meaty tires to enable mountaineering?",Are you interested in bikes which are particular made for mountaineering?,Are you interested in a a bike with disc brakes and shock which is designed specifically for mountain biking?,A3OSUL3HD09070,B001ASO2UA,667,761
31GN6YMHMT7MSZW05WH8S2I2HD8SWU,Walk-behind lawnmower,Would you like a mower that is perfect for mowing and mulching a well maintained yard?,Do you want a lawn mower that is perfect for mowing and mulching a well maintained yard with healthy grass?,Are you looking for a mower for a well maintained yard with healthy grass?,Are you interested in a mower that is perfect for a well maintained yard with healthy grass?,What did you think about  a mower for a well maintained yard with healthy grass?,A379NW5U5EX6V6,B0078KWAL2,209,320
31GN6YMHMT7MSZW05WH8S2I2ILPWSW,Blender,,,,,,AHWWBJVQ199IK,B00GWSQW4W,1171,1364
31HLTCK4CPA6N5N4KMIVHMGLMTCVG3,Espresso machine,,,,,,AGM3WSNP9KHX9,B007K9OIMU,475,560
31HLTCK4CPA6N5N4KMIVHMGLN1TGVM,Tent,,,,,,A3LY5N6NKQZ9UV,B000PKFRNA,375,406
31J7RYEC0P56NLL7OZVMNQEDUE91LP,Tent,Are you looking for a screen room?,Would you be interested in a tent that will not protect any gear from rain?,Would you like a tent with a screen room that is nice for sitting out of the bugs?,Are you searching for a screened in tent to make a relaxing space?,Searching for a tent that comes with a screen room?,AVTZV2V5OL26H,B004E4AW1K,18,102
31KPKEKW5ESU3NED132SVIZYDSP0BY,Backpacking pack,Do you want a backpack that is great for hiking or cycling?,Do you want a backpack that is ideal for hiking or cycling?,Are you looking for a backpacking pack which is great for hiking or cycling?,Do you want to try a perfect backpack for hiking and biking?,Would you like a backpack that is great for hiking or cycling?,AT3XD9MBP4QEA,B00OBVOE5G,77,133
31KSVEGZ487ARKWNQ7H32SD6WJ6RW3,Vacuum,Would you be interested in a vaccum that is very convenient for picking up pet hair daily?,Are you looking for a vacuum that is very convenient for picking up pet hair daily?,Are you looking for a vacuum helps to pick up pet hair daily?,Are you seeking for a vacuum that can easily take up pet hair on a regular basis?,Do you want a vacuum that is very convenient for picking up pet hair daily?,A15INOF1K0M2HZ,B014A69QE0,173,218
31KSVEGZ487ARKWNQ7H32SD6WJ6WR8,Vacuum,Are you looking for a perfect vacuum cleaner for cleaning the basement?,Do you want a vacuum to clean your basement perfectly?,Arr you looking for a vacuum cleaner to clean the basement?,Are you interested in a vacuum cleaner for perfect cleaning the basement?,Would you looking for a good vacuum cleaner for basement cleaning?,AC272YL593J4C,B00002N8CX,175,223
31MBOZ6PBS6QAOV54WK64MX4X3ILC0,Bike,Are you looking for a bike to ride with your kid around the park but not a 5/5 star bike?,Are you looking for a bike for riding with your kid?,Do you want a bike which is decent for riding with your kid around the park?,Do you want a bicycle you can ride with your kid at the park?,are you searching vacuum that is easily dumped out for cleaning?,A3ABXTSZNBD88W,B00BD45SG8,357,438
31MBOZ6PBS6QAOV54WK64MX4YB0CLQ,Grill,Are you looking for grill that is easy to carry in car and can be used at heights for camping?,Do you want a Grill with ideal height that is easy to carry for camping?,Are you looking for a grill with perfect height that is easy to work and also to easy to carry in car for camping use?,Would you like a grill with ideal height that is easy to carry for camping?,Would you be interested in a grill that is portable for camping and easy to put in your car?,A24XYVJFZ7TFY4,B00AHUR0OC,0,128
31MCUE39CO1MBWLL0CCPYRO2V9K3GF,Espresso machine,Would you be interested in espresso machine having no problem with hot dripping cup of falling out while emptying into the sink?,Are you looking for an expresso machine with hot dripping cup?,Would you like an espresso machine with a hot dripping cup?,Do you want an espresso machine featuring a hot dripping cup?,Do you need an espresso machine which is easy to empty and without dripping cups falling out?,A1QQMZNOXGQFPJ,B000F49XXG,2492,2583
31MCUE39CO1MBWLL0CCPYRO2WH13GD,Bike,,,,,,A1SJ7LLTQI9RK1,B0030U8SU6,384,465
31N9JPQXJTX7FW9621EMS5Y9GY4NHB,Snow shovel,Are you looking for any tool to assist your overall shovel job?,Are you looking for a shovel that helps ease your overall shovel job?,Would you be interested for something to help ease your overall shovel job?,Are you looking for a tool which makes shoveling easier?,May I suggest some of the accessories that help in shovel job?,A3OIIDA92RXG3D,B00ASQ4JF8,327,421
31N9JPQXJTX7FW9621EMS5Y9GY5HN6,Espresso machine,,,,,,ALHC64J88LVWO,B00A1V7F10,1996,2036
31ODACBEOYUH820ETNI20D0GTCRQSO,Ski jacket,Do you want a Sky Jacket which is water resistant and suitable for hiking and outdoor activities?,Are you looking for a water resistant ski jacket that can also be used for hiking?,Would you be interested in a water-resistant ski jacket that is also good for hiking and outdoor activities?,Would you be interested in a ski jacket that you can use for hiking and is also water-resistant?,Are you looking to buy a ski jacket that is water resistant for hiking and outdoor activites?,A20TGI5I9S2XMM,B00NHO556A,126,203
31ODACBEOYUH820ETNI20D0GUK8QSM,Ski jacket,Would you like to buy a stylish ski jacket you can wear anywhere?,Do you want a stylish and cool ski jacket that you can wear anywhere?,do you want a stylish and cool ski jacket who can wear anywhere?,Do you want a ski jacket that is very stylish looking?,are you interested in a stilish and cool ski jacket you can wear anywhere?,A26M1ERJ1R8CRX,B001BE173I,38,141
31S7M7DAHK57W5XGQIFWTWX8MXZTLP,Ski jacket,Do you want a ski jacket which is fits perfectly and have plenty of room for layering?,Are you looking for a ski jacket that fits perfectly and still has plenty of room for layering?,do you want a ski jacket with plenty of room for layering?,Would you be interested in a perfectly fit ski jacket which has plenty of room for layering?,Interested in a ski jacket that fits perfectly and still has plenty of room for layering?,A1LQL9QHBKIKYJ,B00L4K8TDK,426,495
31SIZS5W6DU57N01EYIXA3VK7A8QR0,Snow shovel,,,,,,A1E0I01M3DCED2,B000A26FPC,0,142
31SIZS5W6DU57N01EYIXA3VK8IPQRY,Ski jacket,Are you looking for a very warm ski jacket for skiing and day to day life?,Are you looking for a warm jacket for skiing and for day to day life?,Do you want a skiing jacket that would be very warm and can be used in day to day life?,Would you like a warm jacket that is good for every day wear as well as the ski slopes?,Would you like a warm ski jacket that can also be used in day to day life?,AVJGYPISB8ZPU,B00AA185J2,0,47
31SIZS5W6DU57N01EYIXA3VK8IPRQZ,Tent,Would you be interested in a big tent that's easy to recognize and that has plenty of space?,Would you like to look at a huge tent that will be easily recognizable at feativals and with a storage area for coolers and other stuffs?,Would you be interested in a big tent that is easy to find amongst the sea of smaller tents and the little foyer area is great for kicking shoes off before entering and keeping the coolers and other supplies?,Are you looking for a big tent that is conspicuous and has lots of space?,Do you want to see a large tent with a storage room for coolers and other items that would be clearly identifiable at festivals?,A2LG275U7BMN19,B00ZQXK394,427,623
31YWE12TF4RFY1HYRYFJZU0D49IX73,Espresso machine,Are you looking for an Espresso machine that is fast to heat up and gathers up plenty of steam for frothing?,Would you be interested in an espresson machine that heats up fast and produces plenty of steam for frothing?,Are you looking for an espresso machine that heats up fast and also has plenty of steam?,Do you need an Espresso machine that heats up fast and gathers up plenty of steam for frothing?,Looking for a fast hearing espresso machine that has plenty of steam?,A153EMYNSNSRKC,B00028J2EK,240,301
32204AGABFR154SKFX1R2LPCFMIGHW,Espresso machine,,,,,,A292IDB5E5JKTZ,B001CNG7RY,137,215
32204AGABFR154SKFX1R2LPCFMJHGY,Vacuum,Are you looking for vacuum cleaner with virtual walls that is good for confining into space?,Would you prefer a vacuum with virtual walls great for confining it to a space and making sure the area is thoroughly cleaned?,Are you looking for a vacuum cleaner that can clean thoroughly?,Are you seeking for a vacuum cleaner that has virtual walls and can be contained in a small space?,Would you like a vaccum cleaner with virtual walls to make sure the area is thoroughly cleaned?,A2DSOJP3WL0M1D,B00022HYJ6,485,586
324N5FAHT1QBPRJNAD3AFE8ETATVK6,Walk-behind lawnmower,,,,,,A35T53SV5XMWAB,B007PC67L2,601,724
329E6HTMT0HRDIH4Q3X4WJGV3YI3KG,Tent,,,,,,AP41AVH5P3SY9,B001AZ7MDC,451,590
329E6HTMT0HRDIH4Q3X4WJGV3YIK3X,Vacuum,Are you looking for a vacuum small enough to get rid of little messes?,Are you looking for a vacuum cleaner that is perfect for cleaning up those little messes in between regular vacuuming?,Are you looking for a small vacuum which is perfect for cleaning up those little messes in between regular vacuming instead of dragging out the big vacum?,Are you interested in a vacuum that is tiny and ideal for getting rid of small messes?,Are you looking for a little vacuum that you can use instead of lugging out the larger vacuum to clean up those little messes in between regular vacuuming?,A13WSS2LJEOHWA,B00008NRU0,46,160
32CAVSKPDI496B81XDNNEDAW751U1B,Ski jacket,Are you looking for Ski Jacket for spring?,Are you looking for ski jacket that has an outside shell good for spring?,Are you looking for a ski jacket with an outside shell that is good for spring?,Do you need a ski jacket that has an outside shell good for spring?,Would you like a good Ski Jacket for spring?,A37GRZ3FXNRQLX,B0109ZL1MG,317,359
32CAVSKPDI496B81XDNNEDAW7521UJ,Walk-behind lawnmower,Do you want a bag for catching the cut grass?,Do you want a bag to catch the grass clippings?,Do you want a Walk-behind lawnmower that comes with a bag to collect the cut grass?,Do you need a bag to gather cut grass?,Do you want a walk-behind lawn mower that has a bag to catch the grass clippings?,A12FC946JJ82OF,B00004RA3E,810,871
32CXT5U15KIRHBSMWYW2TNX4LB88UA,Walk-behind lawnmower,Are you looking for a great quality lawnmower to get the job done?,do you looking a lawnmower for mowing zoysia grass?,ARE YOU LOOKING FOR A MOWER FOR MOWING YOUR ZOYSIA GRASS?,Are you interested in a lawnmower for mowing zoysia grass?,Would you be interested in getting your hands on a lawnmower that is great for mowing zoysia grass?,A1HX6ECOFQ2C1S,B00004R9UL,0,50
32FESTC2OL5TTEIZDAC7V9TNB2SUC1,Tent,Do you want a tent with 5 foot standing room?,do you looking for a tent with a standing room?,Do you want a tent that has an easy standing room for changing clothes?,Are you interested in a tent that has a 5 foot standing room?,Are you looking for a 5 foot standing room tent?,A1JORYLRF4TOAX,B0064EDJH2,1016,1105
32K26U12ER33BLDDIWHNB1DOA9DVDR,Snow shovel,Would you be interested in a snow shovel that is perfect for shoveling a small path?,Are you looking for something that comes in handy for shoveling a small path for the customers to get to the door?,Are you looking for a snow shovel that comes in handy for shoveling a small path to get to the door and to clear a spot for the puppies to potty?,Are you interested in a snow shovel for making a small path?,Are you interested in a snow shovel that can shovel a small path?,A60I915C5M3JE,B002SIR91A,61,220
32PT7WK7EQUJZCBUYMBHS6L5IH43D5,Blender,Are you looking for a blenders for purreed veggies?,Are you looking for a blender that's great for blending up pured veggies to sneak into your kid's foods?,Would you be interested in a blender that is great for blending up pureed veggies?,Do you want the perfect blender for making vegetables with puree?,Do you want a blender that's good for blending up pured veggies for kids?,A2OMW1PBVZGQYF,B001WAKFDY,101,170
32TMVRKDHRDS0DY7HS5KGJZAMYK48J,Walk-behind lawnmower,do you need a walk-behind lawnmower which is light in weight?,Would you be interested in this lightweight lawnmower that can also be folded for storage?,Are you looking for a lawnmower that is light in weight and can be broken down into a much smaller size for carrying and storing it?,Would you like to learn more about this compact lawnmower that can also be folded for storage?,Do you want a lightweight lawnmower that will be perfect for carrying and storage?,AKUJQTTLO4QEO,B00IP1MG2Q,229,338
32TMVRKDHRDS0DY7HS5KGJZAMYK84N,Bike,Are you looking for a bike that is great for commuting?,Would you like a bike that is good for commuting?,Do you want a bike that is great for commuting?,Are you interested in purchasing a bike that makes it easy for commuting?,Do you want a bike that can be used for commuting?,A2RLVLI4RIXPW8,B004Q3N0GI,0,84
32TZXEA1PPZAPDEMI7W519C28SE14W,Ski jacket,Would you be intersted in a ski jacket that is for traveling in the winter because a regular jacket is so bulky?,Are you looking for a less bulky ski jacket for traveling in the winter?,Do you find regular jackets too bulky? Ready to try a ski jacket without all the annoying bulkiness?,Searching for a less bulky ski jacket for traveling in the winter?,In Which season Ski jacket is mostly used to compare the regular jacket ?,ATPEWIC5S5OZA,B00KXIICY0,73,152
32TZXEA1PPZAPDEMI7W519C28SE41Z,Walk-behind lawnmower,Would you be interested in a walk-behind lawnmower with two batteries which do your front and back with power left over?,Would you like a lawnmower with good battery power?,Do you want a lawnmower with two batteries that can mow a wide area?,Are you looking for a lawnmower with two batteries which can cover a large place?,Are you interested to use battery powered lawnmower?,A11HX0J0DR8FMD,B00OV969C4,175,302
32W3UF2E0S0UCGOKY4LPI5VTCP54CP,Backpacking pack,Are you looking for a backpack with a cross chest shoulder straps to take stress off of your shoulders?,do you want a backpack with Shoulder straps who secured this backpack in a way that takes additional stress off of your shoulders?,Do you want a backpack with a secure cross-chest snap that takes stress off of the shoulders?,Are you interested in a backpack with a cross chest shoulder straps to take stress off of your shoulders?,Have you found  a backpack with a secure cross-chest snap that takes stress off of the shoulders?,A2629G985RYHPN,B0039XD1KG,477,633
32W3UF2E0S0UCGOKY4LPI5VTCP5C4X,Bird feeder,,,,,,A166STSOMWBZ8O,B00BB5VR82,59,189
32XN26MTY3Y6GW0PSGRM9LV3OEM0LN,Vacuum,Do you want a vacuum cleaner that's perfect to clean a 400 sq foot room?,Would you like a vaccum which is the perfect size for cleaning a 400 sq foot room?,Are you looking for a vacuum cleaner that is perfect size for cleaning your 400 sq foot room?,Can I interest you in a vacuum that can keep a 400 sq foot room clean?,Would you be interested in a vaccum cleaner that is ideal for cleaning a 400 sq foot room?,A1VXWGYJCQ96DM,B014P3B7TU,107,162
334ZEL5JYAUENQNYEAQYB85GFJQOSC,Tent,"Looking for a tent that is easy to haul around, even on a motorscycle?",Are you looking for a tent perfect to add to your motorcycle?,Are you looking for a tent for a bike event?,Are you interested in finding a tent that can be carried on a motorcycle?,Are you interested in a tent you can carry on a bike?,A2IM1PT5UKK6R0,B004J2KDHK,0,89
335HHSX8DHKYTKITD70JW0MF2U3HDO,Backpacking pack,,,,,,A2LZQ1DLLNNEI5,B01E3QWXF6,30,132
335VBRURENFA6KEABQNBP16CJTWE9O,Blender,Are you looking for a blender that has the low speed for incorporating ingredients with a wish and high for whipping up heavy cream?,Are you looking for a multi purpose blender with variable speed?,Would you be interested in a blender that has a low speed for incorporating ingredients with a wish and high for whipping up heavy cream?,Do you want a multi-purpose blender that has different kinds of speeds?,Need a multi purpose blender with variable speed?,A2IFGGXG3YV3Y6,B00CT9Y7MW,1146,1234
336OE47KJ6Z2KRD4ZRMD3P29HPJVW0,Bike,Would you be interested in a bike that is good for commuting on bumpy terrain?,Are you looking for a bicycle primarily for urban commuting?,Are you looking for a bike that is good commuting on bumpy terrain?,What do you think about a bicycle primarily for urban commuting?,Are you interested in buying a good bike primarily for commuting on bumpy terrain?,A3P0LEX4ZS2DVV,B006JCUPJY,190,242
336OE47KJ6Z2KRD4ZRMD3P29HPJWV1,Backpacking pack,Are you looking for a backpacking pack that converts to a waist pack?,Would you be interested in a backpack which can be easily used as a waist pack for travelling through long trips?,Would you like a backpacking pack that can go on a plane and convert to a waist pack for traveling?,Do you want a backpack that doubles as a waist pack for traveling?,Are you wish to buy a backpacking pack that converts to a waist pack?,AEMYGLJ8VGW6M,B00OZJYRN8,61,158
337F8MIIN3SAIOT4MOS5N4TS30804S,Backpacking pack,Are you looking for a backpack for travelling alone?,Are you looking for really nice backpack for solo travel?,Do you want a backpack for when you travel solo?,Are you interested in a really nice backpack for solo travel?,Do you wish to travel alone and need a backpack?,AIWUBT0ZK8N5W,B01BY6UFWQ,60,90
337F8MIIN3SAIOT4MOS5N4TS30840W,Walk-behind lawnmower,,,,,,A183F6CIE84BH9,B00H8GLK6M,19,110
